ind	title
101	Государственный долг, всего
102	Кредиторская задолженность
103	Дебиторская задолженность
104	Просроченная дебиторская задолженность
105	Просроченная кредиторская задолженность
106	Задолженность по кредитам и займам
107	Просроченная задолженность по кредитам и займам
201	Ввод в эксплуатацию жилых домов
202	Число браков
203	Число разводов
204	Реальная зарплата
205	Заработная плата
